SI_78-79_15-50m	*SampleSet*	1	1	1																			
465	23																						
	SP_78-10	SP_78-16	SP_78-21	SP_78-27	SP_78-29	SP_78-30	SP_78-33	SP_78-36	SP_78-38	SP_78-39	SP_78-41	SP_78-43	SP_78-45	JL-2	JL-3	JL-4	JL-6	JL-7	LK_79-13	LK_79-16	LK_79-6	LK_79-8	LK_79-9
Parascorpaena	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudochromis bitaeniatus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scolopsis margaritifera	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma	0	0	2	2	0	0	0	0	1	0	1	5	0	1	0	2	0	0	0	0	0	0	0
Ecsenius kurti Springer	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria vaiulae	0	0	3	0	0	0	0	2	2	0	3	0	0	0	0	0	0	0	4	0	4	3	0
Halichoeres melanochir	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halophryne hutchinsi Greenfield	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lubbockichthys	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amphiprion clarkii	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5
Chaetodon kleinii	0	0	4	2	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Onigocia pedimacula	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0
Siphamia jebbi Allen	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Eviota melasma Lachner & Karnella	0	0	5	2	0	0	1	0	0	0	2	0	0	1	1	0	0	5	1	1	0	1	0
